COD,Nome,Numeracao,Tipo,Cor,Marca,Descricao,Preco,Promo,Imagem
1,Sandália Purple,40;41;37;32,Sandália,Roxo,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,,https://i.ibb.co/s9vkdQRn/Sandalia01.png
7,Tenis,32;33;34;35;36;37;38;39;40,Sapato,Azul,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,75,https://i.ibb.co/nqvTycSx/Sanalia02.png
9,Tenis,34;35;36;37;38;39;40;32,Sapato,Verde,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,,https://i.ibb.co/1GrHbr30/bota.png
8,Tenis,33;40,Sapato,Rosa,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,,https://i.ibb.co/1GrHbr30/bota.png
13,Tenis,38;39;40;32;33,Sapato,Azul 2,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,,https://i.ibb.co/1GrHbr30/bota.png
7,Tenis,32;33;34;35;36,Sapato,Azul A,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,75,https://i.ibb.co/nqvTycSx/Sanalia02.png
12,Tenis,37;38;39,Sapato,Azul3,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,,https://i.ibb.co/1GrHbr30/bota.png
15,Tenis,40;32;33,Sapato,Azul B,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,,https://i.ibb.co/1GrHbr30/bota.png
10,Tenis,35;36,Sapato,Verdew,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,,https://i.ibb.co/1GrHbr30/bota.png
13,Tenis Basico,38;39;40;32;33,Sapato,Azul,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,,https://i.ibb.co/1GrHbr30/bota.png
9,Tenis Basico,34;35;36,Sapato,Verde,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,,https://i.ibb.co/1GrHbr30/bota.png
7,Tenis Basico B,32;33,Tênis,Azul,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,75,https://i.ibb.co/cXxZyCZs/Tenis-Rosa-Fila.png;https://i.ibb.co/cXxZyCZs/Tenis-Rosa-Fila.png;https://i.ibb.co/cXxZyCZs/Tenis-Rosa-Fila.png
9,Tenis Basico B,34;35,Tênis,Azul g,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,75,https://i.ibb.co/cXxZyCZs/Tenis-Rosa-Fila.png;https://i.ibb.co/cXxZyCZs/Tenis-Rosa-Fila.png;https://i.ibb.co/cXxZyCZs/Tenis-Rosa-Fila.png
12,Tenis Nike,37;38,Sapato,Azul,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,,https://i.ibb.co/1GrHbr30/bota.png
7,Sandáila,32;40,Sapato,Azul,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,75,https://i.ibb.co/nqvTycSx/Sanalia02.png
